Number,Problem,LeetCode_URL,Difficulty,Pattern,Status,Attempts,Time_Spent_Min,Mistake_Notes,Date_Solved,Week
1,Contains Duplicate,https://leetcode.com/problems/contains-duplicate/,Easy,Hashing,Not Started,0,,,,3
2,Valid Anagram,https://leetcode.com/problems/valid-anagram/,Easy,Hashing,Not Started,0,,,,3
3,Two Sum,https://leetcode.com/problems/two-sum/,Easy,Hashing,Not Started,0,,,,3
